created_date,initial_deposit,withdrawable_balance,equity,margin,margin_percent,num_live_positions,amount_in_trade,unrealized_pnl
2023-04-20T21:50:05.756975,5700,4748.91,5664.89,915.9800000000004,16.17,24,7733.0,-147.0
2023-04-21T00:30:05.855394,5700,4757.27,5674.93,917.66,16.17,24,7733.0,-132.0
2023-04-21T13:12:05.552982,5700,4842.81,5674.21,831.3999999999996,14.65,20,6720.0,-130.0
2023-04-21T13:20:05.518612,5700,4841.67,5672.95,831.2799999999997,14.65,20,6720.0,-132.0
2023-04-21T14:20:05.653582,5700,4854.83,5684.21,829.3800000000001,14.59,20,6720.0,-120.0
2023-04-21T15:20:05.776886,5700,4874.82,5705.55,830.7300000000005,14.56,20,6720.0,-99.0
2023-04-21T16:20:05.318340,5700,4875.6,5703.72,828.1199999999999,14.52,20,6720.0,-102.0
2023-04-21T17:20:05.452723,5700,4878.25,5698.73,820.4799999999996,14.4,20,6720.0,-106.0
2023-04-21T18:20:05.603407,5700,4781.55,5694.67,913.12,16.03,22,7633.0,-112.0
2023-04-21T19:20:05.863104,5700,4789.75,5677.94,888.1899999999996,15.64,22,7633.0,-128.0
2023-04-21T20:20:05.173820,5700,4793.65,5681.48,887.8299999999999,15.63,22,7633.0,-124.0
2023-04-21T21:20:05.431922,5700,4795.62,5680.49,884.8699999999999,15.58,22,7633.0,-122.0
2023-04-21T22:20:05.569426,5700,4798.61,5683.55,884.9400000000005,15.57,22,7633.0,-122.0
2023-04-21T23:20:05.356388,5700,4791.86,5680.91,889.0500000000002,15.65,22,7633.0,-121.0
2023-04-22T00:20:05.763168,5700,4798.47,5688.9,890.4299999999994,15.65,22,7633.0,-117.0
2023-04-22T01:20:05.350905,5700,4814.45,5699.48,885.0299999999997,15.53,22,7633.0,-108.0
2023-04-22T02:20:05.481808,5700,4807.25,5698.98,891.7299999999996,15.65,22,7633.0,-104.0
2023-04-22T03:20:05.725524,5700,4810.39,5702.09,891.6999999999998,15.64,22,7633.0,-103.0
2023-04-22T04:20:06.098957,5700,4802.65,5696.41,893.7600000000002,15.69,22,7633.0,-110.0
2023-04-22T05:20:05.291578,5700,4805.92,5699.87,893.9499999999998,15.68,22,7633.0,-108.0
2023-04-22T06:20:05.535672,5700,4802.0,5695.9,893.8999999999996,15.69,22,7633.0,-107.0
2023-04-22T07:20:05.912762,5700,4808.38,5701.03,892.6499999999996,15.66,22,7633.0,-104.0
2023-04-22T08:20:05.481195,5700,4819.87,5710.22,890.3500000000004,15.59,22,7633.0,-100.0
2023-04-22T09:20:05.810092,5700,4811.76,5703.28,891.5199999999995,15.63,22,7633.0,-103.0
2023-04-22T10:20:05.774383,5700,4807.83,5698.48,890.6499999999996,15.63,22,7633.0,-106.0
2023-04-22T11:20:05.363406,5700,4810.21,5703.7,893.4899999999998,15.67,22,7633.0,-101.0
2023-04-22T12:20:05.160930,5700,4809.39,5704.81,895.4200000000001,15.7,22,7633.0,-105.0
2023-04-22T13:20:05.751887,5700,4800.3,5698.57,898.2699999999995,15.76,22,7633.0,-106.0
2023-04-22T14:20:05.966369,5700,4805.27,5699.91,894.6399999999994,15.7,22,7633.0,-107.0
2023-04-22T15:20:05.264954,5700,4797.25,5699.04,901.79,15.82,22,7633.0,-110.0
2023-04-22T16:20:05.555148,5700,4868.75,5691.33,822.5799999999999,14.45,20,6747.0,-117.0
2023-04-22T17:20:05.674357,5700,4903.72,5682.24,778.5199999999995,13.7,18,6164.0,-131.0
2023-04-22T17:26:05.383103,5700,4901.78,5681.18,779.4000000000005,13.72,18,6164.0,-130.0
2023-04-22T18:26:04.878663,5700,4906.43,5684.87,778.4399999999996,13.69,18,6164.0,-127.0
2023-04-22T19:26:05.296537,5700,4997.31,5684.43,687.1199999999999,12.09,16,5160.0,-123.0
2023-04-22T19:35:05.820590,5700,4998.16,5685.24,687.0799999999999,12.09,16,5160.0,-122.0
2023-04-22T19:38:05.483387,5700,4900.41,5682.31,781.9000000000005,13.76,18,6111.0,-126.0
2023-04-22T19:53:05.888586,5700,5253.31,5681.22,427.9099999999999,7.53,12,4663.0,-50.0
2023-04-22T20:53:05.975830,5700,5275.47,5680.43,404.96,7.13,11,4163.0,-102.0
2023-04-22T21:53:05.352171,5700,5267.2,5671.93,404.7300000000005,7.14,11,4163.0,-107.0
2023-04-22T22:53:05.749116,5700,5191.79,5673.49,481.6999999999998,8.49,13,5169.0,-107.0
2023-04-22T23:53:06.265615,5700,5194.85,5677.52,482.6700000000001,8.5,13,5169.0,-106.0
2023-04-23T00:53:06.082926,5700,5195.44,5672.56,477.1200000000008,8.41,13,5169.0,-108.0
2023-04-23T01:53:05.154937,5700,5200.28,5676.35,476.0700000000006,8.39,13,5169.0,-106.0
2023-04-23T02:53:05.657114,5700,5196.78,5674.06,477.2800000000007,8.41,13,5169.0,-108.0
2023-04-23T03:53:05.700729,5700,5196.08,5674.94,478.8599999999997,8.44,13,5169.0,-108.0
2023-04-23T04:53:04.892373,5700,5193.84,5672.74,478.8999999999997,8.44,13,5169.0,-110.0
2023-04-23T05:53:05.142396,5700,5194.56,5674.52,479.96,8.46,13,5169.0,-108.0
2023-04-23T06:53:05.594010,5700,5196.1,5676.51,480.4099999999999,8.46,13,5169.0,-106.0
2023-04-23T07:53:05.868497,5700,5198.94,5680.68,481.7400000000007,8.48,13,5169.0,-100.0
2023-04-23T08:53:05.469762,5700,5202.09,5685.14,483.0500000000002,8.5,13,5169.0,-95.0
2023-04-23T09:53:05.572589,5700,5204.14,5686.18,482.04,8.48,13,5169.0,-92.0
2023-04-23T10:53:05.732975,5700,5111.58,5691.05,579.4700000000003,10.18,15,6167.0,-90.0
2023-04-23T11:53:06.028918,5700,5098.96,5680.96,582.0,10.24,15,6167.0,-100.0
2023-04-23T12:53:05.379702,5700,5190.25,5681.44,491.1899999999996,8.65,13,5255.0,-102.0
2023-04-23T13:53:05.570688,5700,5080.09,5667.92,587.8299999999999,10.37,15,6232.0,-111.0
2023-04-23T14:53:05.962097,5700,5083.16,5667.91,584.75,10.32,15,6232.0,-115.0
2023-04-23T15:53:05.080580,5700,5094.65,5673.94,579.29,10.21,15,6232.0,-106.0
2023-04-23T16:53:06.238635,5700,5086.53,5669.61,583.0799999999999,10.28,15,6232.0,-113.0
2023-04-23T17:53:05.784058,5700,5090.5,5669.46,578.96,10.21,15,6232.0,-108.0
2023-04-23T18:53:05.780346,5700,4996.5,5656.37,659.8699999999999,11.67,17,7141.0,-119.0
2023-04-23T19:53:05.539650,5700,4994.82,5662.05,667.2300000000005,11.78,17,7141.0,-116.0
