created_date,num_orders,volume_BUY_orders,volume_SELL_orders,BUY_SELL_ratio,volume_open_positions,volume_closed_positions,num_open_positions,num_closed_positions,pnl_daily,pnl_mean_daily,pnl_median_daily,std_return,avg_trade_net_profit
08/04/2023,0,0.0,0.0,0.0,726.26,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
09/04/2023,0,0.0,0.0,0.0,4998.79,3376.21,21,14.0,3.4200000000000013,0.24,-0.84,1.4,0.16
10/04/2023,0,0.0,0.0,0.0,2782.7,1594.22,12,7.0,-2.53,-0.36,-0.77,1.25,-0.21
11/04/2023,0,0.0,0.0,0.0,3616.24,4442.02,15,18.0,-0.009999999999998,-0.0,-0.71,3.13,-0.0
12/04/2023,0,0.0,0.0,0.0,2462.09,2856.87,10,12.0,6.65,0.55,-0.9,2.82,0.66
15/04/2023,2,251.258,-249.88800000000003,1.01,2479.81,1491.87,10,6.0,-1.1299999999999997,-0.19,-0.96,1.19,0.0
16/04/2023,38,5820.9483,-5777.0655,1.01,5013.32,5586.7,16,20.0,-0.5,-0.02,-1.15,2.54,-0.03
17/04/2023,20,4507.6792000000005,-4523.8402,1.0,3508.92,2239.76,8,5.0,30.35,6.07,5.69,2.36,3.79
18/04/2023,17,3679.13,-3762.678,0.98,2434.73,3719.29,5,8.0,25.41,3.18,1.25,1.6,5.08
19/04/2023,4,436.6764,-248.793,1.76,1591.26,2197.42,4,5.0,-3.119999999999996,-0.62,-2.67,4.63,0.0
20/04/2023,8,877.7503,-986.9305,0.89,497.35,484.69,2,2.0,5.08,2.54,2.54,0.15,2.54
21/04/2023,44,6441.5843,-6328.7946,1.02,4112.01,5883.67,9,13.0,-9.579999999999998,-0.74,-2.43,3.2,-1.06
22/04/2023,21,4163.964,-3620.2395,1.15,912.0,5409.73,2,15.0,-44.39,-2.96,-6.7,7.64,-22.2
23/04/2023,8,1894.756,-1820.805,1.04,410.8,1328.22,1,3.0,1.79,0.6,0.12,0.65,1.79
